"","n_comp","freq","threshold","sd","subj","task"
"174",1,"Low",-14.875,1.28086885,"x34","Control"
"175",5,"High",7.75,0.96824584,"x34","Control"
"176",15,"Low",-7,0.8660254,"x34","Control"
"177",15,"High",13,0,"x34","Control"
"178",3,"Low",-11.125,0.71807033,"x34","Control"
"179",1,"High",-9.5,1.82002747,"x34","Control"
"180",3,"High",0.5,0.61237244,"x34","Control"
"181",5,"High",0.125,1.66301684,"x34","Control"
"182",15,"Low",-4.875,1.32876823,"x34","Control"
"183",3,"Low",-10.625,1.17924764,"x34","Control"
"184",5,"Low",-9.125,1.90804219,"x34","Control"
"185",1,"Low",-13.375,3.2040014,"x34","Control"
"186",9,"High",13,0,"x34","Control"
"187",9,"Low",-7.25,0.93541435,"x34","Control"
"188",1,"High",-6.75,0.93541435,"x34","Control"
"189",15,"High",9,1.03077641,"x34","Control"
"190",3,"High",4.125,0.80039053,"x34","Control"
"191",5,"Low",-16.375,1.28086885,"x34","Control"
"192",3,"Low",-10.75,1.5612495,"x34","Control"
"193",9,"Low",-7.125,1.17924764,"x34","Control"
"194",15,"Low",-2.5,1.06066017,"x34","Control"
"195",1,"Low",-14.5,1.93649167,"x34","Control"
"196",3,"High",-5.125,2.23955911,"x34","Control"
"197",9,"High",5.5,1.87082869,"x34","Control"
"198",15,"High",13,0,"x34","Control"
"199",5,"High",4.875,0.80039053,"x34","Control"
"200",1,"High",-4.875,1.17924764,"x34","Control"
"201",9,"High",13,0,"x34","Control"
"202",5,"High",8.83333333,0.73124703,"x34","Control"
"203",1,"High",-6.75,1.6583124,"x34","Control"
"204",15,"Low",-3,2.01556444,"x34","Control"
"205",15,"High",3.70833333,3.59228533,"x34","Control"
"206",3,"High",1.125,1.09687055,"x34","Control"
"207",3,"Low",-12.375,0.80039053,"x34","Control"
"208",1,"Low",-18.625,0.71807033,"x34","Control"
"209",9,"Low",-6.625,2.23955911,"x34","Control"
"210",5,"Low",-13.625,0.5153882,"x34","Control"
"211",9,"Low",-6.5,0.8291562,"x34","Control"
"212",5,"High",1.375,1.00778222,"x34","Control"
"213",5,"Low",-5.875,0.71807033,"x34","Control"
"214",3,"High",-4,0.61237244,"x34","Control"
"215",15,"High",9.25,0.8660254,"x34","Control"
"216",3,"Low",-12.5,1.11803399,"x34","Control"
"217",1,"High",-5.5,0.75,"x34","Control"
"218",15,"Low",-2.875,0.9437293,"x34","Control"
"219",1,"Low",-18.5,1.11803399,"x34","Control"
"220",9,"High",6.875,1.28086885,"x34","Control"
"221",1,"High",-5.75,1.6583124,"x34","Control"
"222",5,"High",4,2.47487373,"x34","Control"
"223",5,"Low",-10.125,0.80039053,"x34","Control"
"224",3,"Low",-14.125,0.375,"x34","Control"
"225",9,"High",13,0,"x34","Control"
"226",15,"High",9.375,0.5153882,"x34","Control"
"227",3,"High",-1.375,0.71807033,"x34","Control"
"228",9,"Low",-4.125,2.85317805,"x34","Control"
"229",1,"Low",-17.75,0.70710678,"x34","Control"
"230",15,"Low",-2.125,1.28086885,"x34","Control"
"231",15,"Low",-3.75,1.47901995,"x34","Control"
"232",1,"High",-9.125,0.5153882,"x34","Control"
"233",3,"Low",-11.5,1.78535711,"x34","Control"
"234",9,"High",13,0,"x34","Control"
"235",3,"High",0.375,1.39754249,"x34","Control"
"236",15,"High",13,0,"x34","Control"
"237",9,"Low",-9.625,0.71807033,"x34","Control"
"238",5,"High",5.25,2.01556444,"x34","Control"
"239",5,"Low",-10.875,0.5153882,"x34","Control"
"240",1,"Low",-12,1.11803399,"x34","Control"
"241",1,"High",-6.875,0.6731456,"x34","Control"
"242",1,"Low",-16.625,2.18303115,"x34","Control"
"243",15,"High",4.5,2.1937411,"x34","Control"
"244",5,"Low",-10,0.96824584,"x34","Control"
"245",3,"High",3,1.03077641,"x34","Control"
"246",15,"Low",-4.875,1.95655948,"x34","Control"
"247",3,"Low",-11.125,1.125,"x34","Control"
"248",9,"High",4.875,2.13965535,"x34","Control"
"249",5,"High",-0.25,2.59807621,"x34","Control"
"250",9,"Low",-6.5,0.70710678,"x34","Control"
"251",1,"Low",-12.875,2.34853678,"x34","Control"
"252",5,"Low",-8.25,2.58602011,"x34","Control"
"253",3,"Low",-14,0.93541435,"x34","Control"
"254",5,"High",6.875,1.48429276,"x34","Control"
"255",1,"High",-5.625,0.80039053,"x34","Control"
"256",15,"Low",-5.25,1.47901995,"x34","Control"
"257",9,"Low",-7.375,0.9437293,"x34","Control"
"258",3,"High",1.625,2.40117159,"x34","Control"
"259",9,"High",1.125,2.09538183,"x34","Control"
"260",15,"High",6.83333333,2.26231199,"x34","Control"
"261",3,"Low",-15,1.6583124,"x34","Control"
"262",15,"Low",-1.125,1.00778222,"x34","Control"
"263",5,"High",2.875,0.80039053,"x34","Control"
"264",1,"Low",-12.125,0.80039053,"x34","Control"
"265",1,"High",-8.875,1.66301684,"x34","Control"
"266",9,"High",13,0,"x34","Control"
"267",9,"Low",-7,1.78535711,"x34","Control"
"268",5,"Low",-17.25,2.47487373,"x34","Control"
"269",3,"High",-3.75,1.41421356,"x34","Control"
"270",15,"High",8.5,1.14564392,"x34","Control"
"271",9,"High",13,0,"x34","Control"
"272",3,"High",-0.75,1.03077641,"x34","Control"
"273",3,"Low",-14.875,0.375,"x34","Control"
"274",1,"Low",-15.25,0.61237244,"x34","Control"
"275",15,"Low",-3.375,0.5153882,"x34","Control"
"276",1,"High",-8.5,1.06066017,"x34","Control"
"277",5,"High",6.25,1.19895788,"x34","Control"
"278",9,"Low",-11,0.70710678,"x34","Control"
"279",15,"High",13,0,"x34","Control"
"280",5,"Low",-20.75,0.93541435,"x34","Control"
"281",3,"Low",-2.75,1.27475488,"x36","Control"
"282",1,"High",3.25,1.11803399,"x36","Control"
"283",9,"Low",4.875,1.58607219,"x36","Control"
"284",9,"High",13,0,"x36","Control"
"285",1,"Low",-8.875,0.9437293,"x36","Control"
"286",15,"High",13,0,"x36","Control"
"287",15,"Low",0,1.76776695,"x36","Control"
"288",5,"Low",-4.25,1.19895788,"x36","Control"
"289",5,"High",13,0,"x36","Control"
"290",3,"High",13,0,"x36","Control"
"291",5,"High",13,0,"x36","Control"
"292",1,"High",-4.625,1.70018381,"x36","Control"
"293",5,"Low",-8.25,0.8291562,"x36","Control"
"294",3,"Low",-5.5,1.93649167,"x36","Control"
"295",9,"Low",-5.875,0.71807033,"x36","Control"
"296",15,"High",4.125,5.70224736,"x36","Control"
"297",3,"High",13,0,"x36","Control"
"298",15,"Low",-1.125,1.52581945,"x36","Control"
"299",1,"Low",-9.125,1.58607219,"x36","Control"
"300",9,"High",9.375,0.6731456,"x36","Control"
"301",3,"Low",-2,0.8291562,"x36","Control"
"302",5,"High",9.25,0.61237244,"x36","Control"
"303",3,"High",3.75,1.41421356,"x36","Control"
"304",9,"Low",-7.25,0.93541435,"x36","Control"
"305",15,"High",5.20833333,4.05024862,"x36","Control"
"306",5,"Low",-9.125,0.80039053,"x36","Control"
"307",15,"Low",-0.375,2.57694102,"x36","Control"
"308",1,"Low",-11.375,0.6731456,"x36","Control"
"309",1,"High",-3.375,2.42706098,"x36","Control"
"310",9,"High",13,0,"x36","Control"
"311",3,"Low",-2.125,0.9437293,"x36","Control"
"312",3,"High",2.5,1.3462912,"x36","Control"
"313",3,"Low",-7.75,0.61237244,"x38","Control"
"314",9,"Low",-1,1.29903811,"x38","Control"
"315",5,"High",3.375,0.80039053,"x38","Control"
"316",5,"Low",-6.625,0.9437293,"x38","Control"
"317",9,"High",13,0,"x38","Control"
"318",1,"High",4.125,0.80039053,"x38","Control"
"319",15,"High",13,0,"x38","Control"
"320",1,"Low",-13.75,0.75,"x38","Control"
"321",15,"Low",1,1.76776695,"x38","Control"
"322",3,"High",-4.25,0.8291562,"x38","Control"
"323",5,"High",8,0.61237244,"x38","Control"
"324",9,"Low",-12.25,0.8660254,"x38","Control"
"325",3,"High",-8.5,1.43614066,"x38","Control"
"326",9,"High",13,0,"x38","Control"
"327",15,"Low",-6.625,1.03832798,"x38","Control"
"328",1,"Low",-17.25,1.76776695,"x38","Control"
"329",3,"Low",-7,1.67705098,"x38","Control"
"330",1,"High",-2.375,2.42706098,"x38","Control"
"331",5,"Low",-7.5,1.27475488,"x38","Control"
"332",15,"High",6.25,1.82002747,"x38","Control"
"333",9,"High",13,0,"x38","Control"
"334",5,"High",-1.25,5.15388203,"x38","Control"
"335",1,"Low",-18.125,1.46308749,"x38","Control"
"336",15,"High",13,0,"x38","Control"
"337",3,"Low",-9.125,0.5153882,"x38","Control"
"338",9,"Low",-9.625,0.375,"x38","Control"
"339",1,"High",-3.75,0.55901699,"x38","Control"
"340",5,"Low",-10.375,1.28086885,"x38","Control"
"341",3,"High",-1.5,1.03077641,"x38","Control"
"342",15,"Low",-4.25,1.92028644,"x38","Control"
"343",9,"High",13,0,"x38","Control"
"344",15,"High",13,0,"x38","Control"
"345",3,"Low",-9.125,1.17924764,"x38","Control"
"346",1,"Low",-14.75,1.87082869,"x38","Control"
"347",5,"Low",-12.375,1.32876823,"x38","Control"
"348",3,"High",-0.625,1.875,"x38","Control"
"349",9,"Low",-8.875,1.28086885,"x38","Control"
"350",5,"High",8.75,0.8291562,"x38","Control"
"351",15,"Low",-8.25,1.27475488,"x38","Control"
"352",1,"High",-2.25,0.55901699,"x38","Control"
"353",9,"Low",-10.875,0.6731456,"x38","Control"
"354",1,"Low",-17.25,1.11803399,"x38","Control"
"355",15,"High",6.25,1.60078106,"x38","Control"
"356",9,"High",-3.125,3.04394892,"x38","Control"
"357",3,"High",3.125,1.125,"x38","Control"
"358",3,"Low",-3.625,1.875,"x38","Control"
"359",15,"Low",-7,0.96824584,"x38","Control"
"360",5,"Low",-7.75,1.5,"x38","Control"
"361",1,"High",-7.75,0.61237244,"x38","Control"
"362",5,"High",6.125,0.9437293,"x38","Control"
"363",5,"Low",-11.25,1.3462912,"x38","Control"
"364",1,"Low",-18.25,1.83711731,"x38","Control"
"365",9,"High",9.54166667,0.48769583,"x38","Control"
"366",9,"Low",-13.25,1.47901995,"x38","Control"
"367",15,"High",13,0,"x38","Control"
"368",15,"Low",-7,1.5612495,"x38","Control"
"369",3,"High",-5.375,2.09538183,"x38","Control"
"370",3,"Low",-9.25,0.61237244,"x38","Control"
"371",1,"High",-2.125,1.28086885,"x38","Control"
"372",5,"High",2.625,0.80039053,"x38","Control"
"373",5,"Low",-14.625,0.80039053,"x38","Control"
"374",9,"Low",-12.375,1.90804219,"x38","Control"
"375",15,"Low",-11.5,2.12132034,"x38","Control"
"376",1,"Low",-15.625,0.83852549,"x38","Control"
"377",9,"High",-3,1.6583124,"x38","Control"
"378",1,"High",-8.75,0.93541435,"x38","Control"
"379",5,"High",5.375,1.00778222,"x38","Control"
"380",3,"High",-1.75,2.33184476,"x38","Control"
"381",15,"High",13,0,"x38","Control"
"382",3,"Low",-6.625,0.375,"x38","Control"
"383",3,"High",-3,2.51246891,"x38","Control"
"384",9,"High",13,0,"x38","Control"
"385",15,"Low",-4.5,0.70710678,"x38","Control"
"386",9,"Low",-15.5,2.23606798,"x38","Control"
"387",15,"High",7.375,0.80039053,"x38","Control"
"388",5,"High",7.25,0.93541435,"x40","Control"
"389",9,"High",7.95833333,0.97271813,"x40","Control"
"390",15,"Low",-2.375,0.83852549,"x40","Control"
"391",5,"Low",1.5,1.47901995,"x40","Control"
"392",15,"High",8.45833333,0.85898034,"x40","Control"
"393",1,"High",-3.875,1.58607219,"x40","Control"
"394",3,"Low",-6,0.70710678,"x40","Control"
"395",1,"Low",-19.25,1.41421356,"x40","Control"
"396",3,"High",-2.75,0.55901699,"x40","Control"
"397",9,"Low",-7.5,1.27475488,"x40","Control"
"398",9,"High",13,0,"x40","Control"
"399",15,"Low",-3.75,0.8291562,"x40","Control"
"400",5,"High",6.375,0.91001374,"x40","Control"
"401",15,"High",8.875,0.9437293,"x40","Control"
"402",3,"Low",-9.625,1.77218086,"x40","Control"
"403",3,"High",-1.75,4.17582327,"x40","Control"
"404",5,"Low",-0.125,2.50312305,"x40","Control"
"405",1,"Low",-19.875,1.17924764,"x40","Control"
"406",1,"High",-8.625,1.32876823,"x40","Control"
"407",9,"Low",-1,2.07665597,"x40","Control"
"408",9,"High",7.08333333,1.50462251,"x40","Control"
"409",5,"Low",-7.125,2.57694102,"x40","Control"
"410",1,"Low",-21.125,1.09687055,"x40","Control"
"411",3,"High",-5.875,1.28086885,"x40","Control"
"412",1,"High",-6.75,0.55901699,"x40","Control"
"413",9,"Low",-3.375,0.80039053,"x40","Control"
"414",3,"Low",-15.625,1.66301684,"x40","Control"
"415",15,"High",9.375,0.5153882,"x40","Control"
"416",15,"Low",-7.125,1.80710404,"x40","Control"
"417",5,"High",0.375,1.25623445,"x40","Control"
"418",3,"High",-2.625,1.00778222,"x40","Control"
"419",1,"Low",-20.375,0.80039053,"x40","Control"
"420",3,"Low",-12,1.11803399,"x40","Control"
"421",5,"High",9,1.60078106,"x40","Control"
"422",1,"High",-2,1.27475488,"x40","Control"
"423",9,"Low",-0.625,0.375,"x40","Control"
"424",5,"Low",-5.5,1.62018517,"x40","Control"
"425",9,"High",9.5,0.55901699,"x40","Control"
"426",15,"High",8.66666667,1.32811479,"x40","Control"
"427",15,"Low",4.75,1.3462912,"x40","Control"
"428",15,"Low",-3.875,1.80710404,"x40","Control"
"429",1,"Low",-23.75,1.5411035,"x40","Control"
"430",1,"High",-9.375,1.00778222,"x40","Control"
"431",5,"Low",-0.375,1.85825859,"x40","Control"
"432",3,"Low",-15.625,1.875,"x40","Control"
"433",5,"High",5.125,0.80039053,"x40","Control"
"434",3,"High",-3.75,0.8291562,"x40","Control"
"435",15,"High",13,0,"x40","Control"
"436",9,"High",13,0,"x40","Control"
"437",9,"Low",-4.5,0.8291562,"x40","Control"
"438",5,"Low",-9.625,2.40117159,"x40","Control"
"439",5,"High",7.5,1.82002747,"x40","Control"
"440",3,"High",-9.625,0.71807033,"x40","Control"
"441",3,"Low",-10.125,0.80039053,"x40","Control"
"442",15,"Low",-2.5,0.61237244,"x40","Control"
"443",1,"Low",-18.875,1.90804219,"x40","Control"
"444",9,"Low",-6.625,1.03832798,"x40","Control"
"445",9,"High",13,0,"x40","Control"
"446",15,"High",13,0,"x40","Control"
"447",1,"High",-1.375,1.875,"x40","Control"
"448",5,"High",4.125,1.32876823,"x40","Control"
"449",1,"Low",-13.125,1.32876823,"x40","Control"
"450",3,"High",0.875,1.125,"x40","Control"
"451",15,"Low",-3.5,3.79143772,"x40","Control"
"452",1,"High",-8.25,1.47901995,"x40","Control"
"453",9,"Low",-9.25,1.93649167,"x40","Control"
"454",5,"Low",-7.375,1.125,"x40","Control"
"455",9,"High",5.125,1.17924764,"x40","Control"
"456",3,"Low",-9.375,2.64870251,"x40","Control"
"457",15,"High",5.5,2.01556444,"x40","Control"
"458",15,"High",7.125,0.80039053,"x40","Control"
"459",5,"High",0.5,2.96858552,"x40","Control"
"460",1,"High",-8.125,0.9437293,"x40","Control"
"461",9,"Low",-13,0.96824584,"x40","Control"
"462",1,"Low",-20.25,0.93541435,"x40","Control"
"463",3,"High",-7.125,0.80039053,"x40","Control"
"464",3,"Low",-8.625,1.17924764,"x40","Control"
"465",5,"Low",-9.125,0.80039053,"x40","Control"
"466",15,"Low",-2.125,1.77218086,"x40","Control"
"467",9,"High",7.25,1.22474487,"x40","Control"
"468",5,"Low",-8.25,2.65753645,"x40","Control"
"469",3,"Low",-3.375,1.90804219,"x40","Control"
"470",5,"High",-0.125,2.34853678,"x40","Control"
"471",15,"High",1.875,3.71020552,"x40","Control"
"472",9,"Low",-8.25,0.8291562,"x40","Control"
"473",15,"Low",-5.25,0.70710678,"x40","Control"
"474",9,"High",9.29166667,0.56672794,"x40","Control"
"475",1,"High",-7.25,0.93541435,"x40","Control"
"476",1,"Low",-21.875,1.70018381,"x40","Control"
"477",3,"High",-5,1.03077641,"x40","Control"
"478",3,"High",-6.75,1.6583124,"x40","Control"
"479",5,"High",1.125,0.80039053,"x40","Control"
"480",15,"Low",-3.125,2.57694102,"x40","Control"
"481",1,"High",-10.125,1.00778222,"x40","Control"
"482",5,"Low",-10.25,0.70710678,"x40","Control"
"483",3,"Low",-13,1.5612495,"x40","Control"
"484",1,"Low",-19.875,1.17924764,"x40","Control"
"485",9,"Low",-11.25,1.60078106,"x40","Control"
"486",9,"High",-0.375,1.17924764,"x40","Control"
"487",15,"High",7.625,1.375,"x40","Control"
"488",15,"Low",-5.25,0.8291562,"x40","Control"
"489",5,"High",-2.375,1.70018381,"x40","Control"
"490",1,"High",-5.375,1.32876823,"x40","Control"
"491",15,"High",7.29166667,4.12163162,"x40","Control"
"492",5,"Low",-11.875,0.83852549,"x40","Control"
"493",9,"High",13,0,"x40","Control"
"494",3,"High",-9.125,1.00778222,"x40","Control"
"495",3,"Low",-9.125,2.00390244,"x40","Control"
"496",1,"Low",-19.5,1.3462912,"x40","Control"
"497",9,"Low",-8.375,0.80039053,"x40","Control"
"498",9,"High",13,0,"x40","Control"
"499",1,"Low",-20,1.41421356,"x40","Control"
"500",5,"Low",-6.375,0.5153882,"x40","Control"
"501",5,"High",1,0.70710678,"x40","Control"
"502",3,"Low",-6.375,1.46308749,"x40","Control"
"503",15,"Low",-5.5,1.62018517,"x40","Control"
"504",3,"High",-8.125,0.375,"x40","Control"
"505",15,"High",6.875,0.71807033,"x40","Control"
"506",1,"High",-7.875,2.00390244,"x40","Control"
"507",9,"Low",-10.375,1.97246673,"x40","Control"
"508",3,"High",-3.375,1.58607219,"x45","Control"
"509",1,"Low",-7.75,0.75,"x45","Control"
"510",3,"Low",0.125,0.375,"x45","Control"
"511",5,"Low",1.125,2.7866871,"x45","Control"
"512",9,"High",13,0,"x45","Control"
"513",5,"High",5.375,1.28086885,"x45","Control"
"514",15,"Low",1,0.55901699,"x45","Control"
"515",9,"Low",-1.625,1.25623445,"x45","Control"
"516",1,"High",-6.75,1.27475488,"x45","Control"
"517",15,"High",13,0,"x45","Control"
"518",5,"Low",1.875,0.6731456,"x45","Control"
"519",15,"High",5,2.20794022,"x45","Control"
"520",9,"Low",-4.125,1.80710404,"x45","Control"
"521",3,"High",1.875,1.00778222,"x45","Control"
"522",9,"High",-6,1.6583124,"x45","Control"
"523",5,"High",-0.25,1.43614066,"x45","Control"
"524",3,"Low",-1.25,3.28823661,"x45","Control"
"525",15,"Low",-2.75,0.55901699,"x45","Control"
"526",1,"High",-7.75,1.43614066,"x45","Control"
"527",1,"Low",-6.75,0.93541435,"x45","Control"
"528",3,"Low",-1.875,0.80039053,"x45","Control"
"529",5,"Low",5.125,0.80039053,"x45","Control"
"530",1,"High",-7.375,0.71807033,"x45","Control"
"531",15,"Low",-4.25,0.55901699,"x45","Control"
"532",5,"High",6.375,1.09687055,"x45","Control"
"533",3,"High",2.875,1.58607219,"x45","Control"
"534",15,"High",5.95833333,1.97598428,"x45","Control"
"535",1,"Low",-10.25,1.11803399,"x45","Control"
"536",9,"Low",-3,0.55901699,"x45","Control"
"537",9,"High",9.04166667,1.50980591,"x45","Control"
"538",1,"High",-3.75,0.93541435,"x45","Control"
"539",9,"High",8.125,2.00390244,"x45","Control"
"540",3,"Low",-0.125,1.32876823,"x45","Control"
"541",3,"High",5.875,0.80039053,"x45","Control"
"542",9,"Low",-4.625,1.09687055,"x45","Control"
"543",5,"Low",-3,0.8291562,"x45","Control"
"544",1,"Low",-8.75,0.93541435,"x45","Control"
"545",15,"High",2.625,2.00390244,"x45","Control"
"546",5,"High",-3.25,1.62018517,"x45","Control"
"547",15,"Low",-1.875,2.26729464,"x45","Control"
"548",3,"Low",0.25,0.8291562,"x45","Control"
"549",15,"High",3.95833333,4.15184865,"x45","Control"
"550",3,"High",-0.375,0.80039053,"x45","Control"
"551",15,"Low",-3,0.55901699,"x45","Control"
"552",9,"High",13,0,"x45","Control"
"553",5,"Low",-2.125,0.9437293,"x45","Control"
"554",1,"Low",-8.875,1.92435054,"x45","Control"
"555",1,"High",-7.25,0.55901699,"x45","Control"
"556",5,"High",1,1.82002747,"x45","Control"
"557",9,"Low",-8.75,2.10653744,"x45","Control"
"558",9,"Low",-7.75,0.96824584,"x45","Control"
"559",3,"High",-1.5,1.11803399,"x45","Control"
"560",15,"Low",-0.625,1.875,"x45","Control"
"561",5,"Low",-4.875,2.09538183,"x45","Control"
"562",5,"High",-5.375,1.46308749,"x45","Control"
"563",1,"High",-5.375,1.09687055,"x45","Control"
"564",9,"High",1.875,2.85317805,"x45","Control"
"565",15,"High",13,0,"x45","Control"
"566",3,"Low",-4.75,1.5612495,"x45","Control"
"567",1,"Low",-7.375,0.71807033,"x45","Control"
"568",9,"Low",-10.75,0.61237244,"x45","Control"
"569",5,"Low",-2.875,1.28086885,"x45","Control"
"570",1,"High",-11.25,0.93541435,"x45","Control"
"571",15,"Low",-3.125,1.32876823,"x45","Control"
"572",1,"Low",-11.75,0.93541435,"x45","Control"
